20090128152649AA9OJF0	Arts & Humanities;Books & Authors	What is the house of night series about?	i want every detail like how many books what are the called what are they about etc.
20090128173035AAnkxLo	Arts & Humanities;Books & Authors	Does anyone know if Stephenie Meyer is going to finish midnight sun?	i read the what, 12 ch that she has on her page. it was good, i liked it. and i was wondering when or if she was going to finish. does anyone know what her plans are for that?
20090128174607AAQ4okV	Arts & Humanities;Books & Authors	Is there any way to read a book online?	N/A
20090128181314AAvN4Cy	Arts & Humanities;Books & Authors	What are some great books to read? ?	I like stuff like Harry Potter, Twilight, Uglies, and ....... any historical fiction.
20090128174712AA0PQ7J	Arts & Humanities;Visual Arts;Photography	For photographers!!!!!!! please answer:)?	im currently in a course for photography and im just wondering whats the sort of rules or things you go by when cropping your photos to get the best result???
20090128172630AAVvoXD	Arts & Humanities;History	Who knows who dr ben carson was?	what type of dr he is and what are his achievements i know
20090128180114AAAe6XV	Arts & Humanities;Books & Authors	Would this prologue draw u in and make u want to read this story?	I was not your typical college freshman.  I was eighteen years old and still a virgin.  I had only kissed two boys in my entire lifetime.  I valued my virginity and I valued myself.  Most of my closest friends were also virgins.  You know that saying “Birds of a feather flock together”, well in my case that served true.  All of my closest friends were very smart and were heading places.  Most of us were still virgins.   I looked down on the females who openly had no sense of self worth.  I remember being in high school and hearing girls brag about what they did last night and how good it felt or how if their dude wasn’t doing it right then they will just go out and find someone who would.  I always wondered how they could think that way.  Not to mention what I heard the boys saying.  I would be sitting in class and behind me all I heard was “I beat that joint last night”, referring to having sex with a female or, “That hoe aint nothing but she got that good good.”  Those types of comments were the key forces to making sure I stayed grounded.  I would never ever let a boy devalue my character.     As a freshman in college, I had a new type of freedom.   I could virtually do what I wanted and had no one to report to.   I could stay up as late as I wanted without anybody telling me I should go to bed.  I could leave and come as I pleased.  I could go out partying without constant calls asking where I was and when I would be home.  Life was sweet.   Before I knew it, I had finished my first semester in college.  I achieved a decent 3.3 GPA and was feeling good.  Now, I could let loose a little bit.  The last couple weeks of the semester was consumed with studying for finals, so my girls and I didn’t get the opportunity to party as regularly as we liked; that and the fact that it was extremely cold outside.  But since the semester was over and we had two weeks to chill for Christmas break, we were going to fight that cold and get the partying in.  Come 2007, we would have to crack back down and become school oriented all over again.    “Ya’ll tryna go to Club Envy tonight?” Natalie, my second roommate and friend asked.     “I’m down” I replied.    “Me too “Essence also replied.     “Cool, we need to be ready by nine, I want to catch the early shuttle there” Natalie informed us.     Natalie was the more adventurous friend.  She came from a very conservative family so when she partied, she partied hard.     The clock struck eight and we started to get ready for our evening.  I put on my infamous outfit which was a black halter top with a hole in the breast area and a pair of tight jeans.  I finished up the outfit with my infamous black, calf length casual boots and my pleather jacket.  While I was modest in character, I loved to show my body.  My motto was “If you got it, flaunt it”.  I had it so I flaunted it.  Essence did all of our makeup.  She was the fashionista of the crew, the model chick.  Once we all finished getting ready, we left out and hopped on the shuttle to the club.   “Wow, the club is going to be popping” Essence said as we pulled up to a warehouse looking building with lines all the way down the street.     “Ohhh shoot” I responded, “I might get me a man tonight.”    Essence and Natalie giggled.  We stepped out of the shuttle looking cute as ever and headed to the end of the long line.  It was freezing cold.   We finally made it to the front of the line.  We showed our Howard University id for free admission and received that big black X that indicated we were under twenty one.  I hated that X, it messed up the flow of my ensemble.   We stepped into the club and posted up in the middle of the floor dancing among ourselves.  That is how we normally started our adventures in the club until one by one we would be grabbed up by a boy in which most time I rejected.     I surveyed my surroundings as I always did, looking to see the fine boys there.  It was dark so you had to strain your eyes because what looks good in the dark aint always good in the light, that’s true stuff.  I immediately noticed two dudes on the floor, something about dreads and a fitted hat always captured my attention.  One dude was about my height and the other was fairly tall.  That is where my eyes kept wandering to during the majority of the night.  The short one was always dancing with someone, and the tall one just stood there looking cool.     Not before long the shorter one grabbed Natalie up and they began to dance.  Natalie put in work while dancing with him.  She was bent over touching the floor.  She was shaking her behind so hard you would think she was about to break something.  I was looking at her, shaking my head as I always did.  In the back of my mind I was hoping his taller friend would pull me so we can dance but he just stood there looking cool.  I liked that.  Once Natalie finished freaking the boy he got her phone number.  Then he leaned over and whispered in my ear, “Was your friend sheltered as a child?”    I giggled
20090128175328AAMFxOu	Arts & Humanities;History	What do Juan dela Cruz, Zorro, and Uncle Sam all have in common?	N/A
20090128175154AAvb3U8	Arts & Humanities;Books & Authors	Sequels of 'The Host' ?	What do you think/hope will happen in potential 'Host' sequels?
20090128175249AA0jOql	Arts & Humanities;Philosophy	Is true: All you need is love?	?
20090128173359AAjgaGS	Arts & Humanities;History	What are the 5 most important enumerated powers of Art. I sect. 8 of the Articles of Confederation?	and if you know, can you please explain why.  thanks
20090128175354AAw93VA	Arts & Humanities;Theater & Acting	TALENT AMERICA GOT! EASY 10 POINTS?	ok im auditioning for americas got talent and i need a song that can show the judges that i really know how to play piano so please tell me a challenging and good song for the piano
