20090129083424AA1TAYF	Health;Other - Health	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090129100841AAMBC5H	Health;Other - Health	I need openions about human health pls?	Would anyone give me any thoughts about:      1-what are the four risk  that could affect your health when you are exposed to it everyday?      2-Under what conditons we should prefere drinking bottle waters and not drinking bottler water considering waste and energy cosumptions with bottle in mind.      thanks for taking time
20090129115920AA90hqW	Health;Men's Health	What is the difference between Viagra and Enzyte?	What is the difference between Viagra and Enzyte? and which one is better? Also is it okay to take anyone of these pills along with prescription marijuan? thank you.
20090129110746AAdMmRt	Health;Mental Health	Im scared; help me please!!!!?	my sister has been havin vagina problems...what could this be...could it be herpes      symptoms are:   -so far its only 1 pink bump with white skin surrounding it     -cuts and breaking of skin   -swollen glands    -it is painful when she washes      please help...also please dont be mean
20090129104958AAhacQg	Health;Other - Health	Aynone try Chantix for quitting smoking?	Hello!  i have a good friend who just went to the doctor about quitting smoking.  the doctor gave her a prescription for Chantix.  She also gave her a prescription for Zoloft to help with anxiety (unrelated to smoking or quitting).  I have heard that both of these drugs can increase risk of suicide or negative thinking.  I am worried because she is already not the most positive person.  I am thinking the doctor made a few bad recommendations for her paticular case.  Am I over worrying??
20090129092803AAbKlDL	Health;Diet & Fitness	Best way to do push ups and sit ups?	im 6'2'' 330 pounds and 20 male i cant do any push ups except for on my knees whats the best way to get up to where i can do normal ones and i can do a few sit ups whats the best way to be able to do more? thanks
20090129105843AAzeW0j	Health;Men's Health	Ok i need a little help with ..?	ok i need help with masurbation ok i need to do it i have to   but it is not working well for me  any tips    or techneeks or w/e just any thing please
20090129105917AAkjt5W	Health;Women's Health	Help GIRLS ONLY!!!!!?	ok...      i started my period and i really need some more pads but i don't know what to say, she said to me once " if u need anymore just write them on the shopping list" i was like ok, but what do i write do i just write      period pads      or the proper name of the once i want ( even though i dont really know what i want... :(  )      what do i do??      i have a normal relationship with my mum but it isnt amazing...      so what do i write own...  so she will no what i mean..      please i am very shy and dont really know  what to do in situations like this.      TY
20090129100807AAD4nSt	Health;Diet & Fitness	What exercises are guranteed to tone up your bum and legs?	I really want to tone up and fast. Please help :) x
20090129102541AA1zgoI	Health;Diet & Fitness	What foods should you eat that help you gain weight but don't bloat your stomach?	I recently found out that I have lost too much weight to wear my prom dress and was devastated, I have time to put on weight but need to know what to eat without bloating my stomach so that it doesn't show through my dress hehe :) thankies .x.
20090129103217AAiaHAN	Health;Men's Health	Men...do your testicles get sore and achy when you catch a cold?	I'm just curious how many men get an ache in their testicles when they get a cold.
20090129114611AAmd5qX	Health;Diet & Fitness	Healthy Eating and Friday Gym?	BREAKFAST: Weetabix and Banana  Around 10 o clock in the morning an apple.  Lunch: Heatlty Sandwich and Yoghurt  In Beetween Lunch And Dinner: Orange Fruit  Dinner: Nice meal with 2 veg    Do you think if i'm eating like this and i go to the gym once a week every friday do you think it enough excise. I'm only 15 and i don't work hardly have any money got school so i can't be going gym all the time.     If once a week is fine how long do you think i should be in the gym for?
20090129105025AAKWy7o	Health;Women's Health	So my dr just called me...and im scared?	i had my daughted 6 months ago but i weigh as much as i did when i had her. i gained it all back. so my dr drew some blood to check my thryroid. at my follow up appt they said all of my labs came back normal then i mentioned how i forgot to mention and the last appt that my mom and and cousin have to take meds for their thyroids. So she decided just to be safe we dould get and ultrasound of the thyroid. So my dr just called and the girl said my U/S showed i had a small cyst on my thyroid. OH MY GOSH what does this mean, i freaked and asked her do i need to be worried is this common OH MY GOSH again. she said it was comming not to stress so we made a 2 week folow up. Basically im wondering if anyone has been in this situation? or has had this happen and should i really not be overly concerened??      please please help
20090129105153AAkbJ0R	Health;Diseases & Conditions;Cancer	So my dr just called me....and im scared?	i had my daughted 6 months ago but i weigh as much as i did when i had her. i gained it all back. so my dr drew some blood to check my thryroid. at my follow up appt they said all of my labs came back normal then i mentioned how i forgot to mention and the last appt that my mom and and cousin have to take meds for their thyroids. So she decided just to be safe we dould get and ultrasound of the thyroid. So my dr just called and the girl said my U/S showed i had a small cyst on my thyroid. OH MY GOSH what does this mean, i freaked and asked her do i need to be worried is this common OH MY GOSH again. she said it was comming not to stress so we made a 2 week folow up. Basically im wondering if anyone has been in this situation? or has had this happen and should i really not be overly concerened??      please please help
20090129104734AAxTcVi	Health;Other - Health	I have red patches on my skin and my fingers and hands hurt someone help me please?	i am sick but i dont know what it is and i cant afford a doctor what do i do???
