20090307160135AA84YER	Society & Culture;Mythology & Folklore	Do you Yahoo,, Or have you been Yahoood, or Do you Google or Have you been googled?	Who is watching you
20090307041404AAS7JCD	Society & Culture;Religion & Spirituality	Christians ! What about Grave suffering ?	Is there any concept of grave suffering?   What is funeral rules & obligation of Christian man & woman ?   Are there prayers for died one ?   Concept of hell & heaven ?   will all non christians go to hell ?   Will jesus save all christians even those who were great sinners or only good christians ?      Serious answers please !
20090307041033AAdYxPZ	Society & Culture;Religion & Spirituality	Christians !  What is concept of Day Of Judgement  in Christianity?	& Where we can know the rules & charter of punishments of sins ?   Like what punishment for what sin ?      Source of this all.
20090307060924AAmgR4W	Society & Culture;Religion & Spirituality	What exactly makes humans so special?	What makes us so special that we're described as neither animal nor plant (by some people).
20090307112805AAky96X	Society & Culture;Religion & Spirituality	Would you like to be reborn...?	if reincarnation was a reality?
20090307114014AALDub5	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Do you get along with the opposite sex better as friends?	I am a straight female and I have 3 gay friends who I really love. They are the only friends I need but If I meet more gay males that would be cool. I've noticed that myself & other females just don't get along at all.
20090227085358AAnhtcn	Society & Culture;Religion & Spirituality	Christians, is your faith really this weak?	So yesterday I asked a series of questions, probably about 7 of them.  They were all well thought out, well researched and quoted scripture giving examples to back up my theories, and might I add in no way did any of my questions violate any YA rules or guidelines.  Yet I wake up this morning to find that every single one of the questions I had asked yesterday had been reported and deleted.  Is your faith so weak that any question asked on RS that brings to light the contradictions, and lies in your bible warrants such hate that you find it necessary to have it deleted?  I would think that if your faith was as strong as you claim it to be, that nothing I post would result in such an outpouring of hate.  Or is this just another example of Christians attempting to silence evidence that clearly shows how misguided you really are?  How many texts that contradicted your beliefs have the followers of christ destroyed during the course of history?  How many people have been silenced by the church for their opinions?  If this is supposed to be an open forum where all opinions are given space to be voiced, why do you constantly feel the need to have the questions and sometimes answers of atheists deleted?  Also, has this happened to any other atheists out there as I have a feeling that this has happened to others as well?
20090227084834AAJ67o0	Society & Culture;Religion & Spirituality	Why dont confirmed catholics have more power than confirmed protestants?	I thought you get more power when you're a Catholic right?
20090307115158AAXYFeK	Society & Culture;Religion & Spirituality	Has the Lord delivered you from a stronghold or an addiction?  Has he given you victory through his strength?	 http://www.youtube.com/watch?v=dDCdGPJQ-... 
20090307061423AA8owip	Society & Culture;Religion & Spirituality	How many years will it take till Christians say they supported gays all along or at least deny oppressing them?	They did it with the Flat Earth   They've oppressed many minorities -Black people, Native Indians, Women, dinosaurs (some still do though lulz) WHAT ELSE??      Seems like we've all forgotten about that now.      So I'm wondering how long it'll take till the heat on evolution, homosexuals, stem cell research & abortion(not sure about this one though lulz) will die out and be forgotten and restore misinformed peoples impressions of Christianity as the religion of the saints who are perfect and always right, fair and loving. (baff)
20090307061423AATilwi	Society & Culture;Religion & Spirituality	How many years will it take till Christians say they supported gays all along or at least deny oppressing them?	They did it with the Flat Earth   They've oppressed many minorities -Black people, Native Indians, Women, dinosaurs (some still do though lulz) WHAT ELSE??      Seems like we've all forgotten about that now.      So I'm wondering how long it'll take till the heat on evolution, homosexuals, stem cell research & abortion(not sure about this one though lulz) will die out and be forgotten and restore misinformed peoples impressions of Christianity as the religion of the saints who are perfect and always right, fair and loving. (baff)
20090307121227AAbYEB4	Society & Culture;Religion & Spirituality	Are all religions fairy tales? or just some of them?	N/A
20090307121136AAoGpaW	Society & Culture;Religion & Spirituality	If we were made in God's image, why aren't we invisible  too?	N/A
20090307121403AAjd92y	Society & Culture;Religion & Spirituality	Do Atheists fly airplanes into buildings?	with the specific intent of killing people because they don't share their same religious beliefs?
20090307094957AAFd51k	Society & Culture;Religion & Spirituality	I have sinned but repented.  Why won't school let me wear this shirt?	 http://www.p4cm.com/p4cm/store/launch 
20090307113641AAPYGdK	Society & Culture;Religion & Spirituality	If God is a trinity . . .?	Then why does the bible not state that God is a trinity, in the manner of, say, the Nicean Creed?      It seems strange that the bible never mentions the trinity, never applies the word "three" to God, yet it repeatedly says in the Old and New Testaments that "God is one."
20090307105306AAVBCd4	Society & Culture;Religion & Spirituality	How is it better to commemorate the date of Christ's death but not to celebrate Christ's resurrection?	Jehovah's Witnesses have the annual event where they commemorate Jesus' death, but they do not celebrate Jesus' resurrection?
20090307105022AAUOPyU	Society & Culture;Religion & Spirituality	What are some places in the NWT that show clearly that WTS has their own agenda in it?	NWT = New World Translation, Jehovah's Witnesses version of the Bible      WTS = Jehovah's Witnesses organization which they believe is the ONLY true God's organization      NWT is not ONLY bad translation, but where it is bad is critical. I do not see that Jehovah's Witnesses have a Christian doctrine yet they claim their organization is the ONLY true Christian organization
