20090220072842AAGP4V1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can you tell if there faking it ???	you know what i mean.
20090220093709AABwO1m	Society & Culture;Other - Society & Culture	Keeping a secret from everyone :(?	I am not going to say my exact situation because I'm too much of a coward to share it (even if you are all strangers) I will sort of say because this is the only opportunity I will get to say without anyone I know seeing it. For the past couple of years, I have been keeping a pretty big secret about myself which I can't get the strength inside to tell anyone. Not even my closest friends. Because I'd be scared I'd lose people, and they would probably be very surprised to find out. I know it is not bad. But some people would think so. Maybe one day I will get to the point where I have to tell people because it gets too much. But I'm only 15, so it's tricky at the moment. Many people would dislike me anyway, and I'd lose so many people probably. I just don't know what to do. I feel like there is constantly something inside me which I just can't let out. And for the time being, I feel separated from everyone. And I can't be myself. I just don't know what i can do. There probably isn't a solution to make this better, except for telling people. But telling people is my biggest fear. And I would for some reason feel embarrassed. I know somebody who would understand. But I barely know them. This is the person who made me realise, when we used to go to a club a couple of years ago we used to hang around with eachother. I get on with this person, but we are not close friends and we barely talk. I could if I wanted over msn, and this person has a truth box on myspace which I am tempted to put my feelings in. But I'm worried in case there is a way they can find out that I wrote it. I feel like a coward, and that I should share it. But I'd lose too much. To be honest I know know how this will help, but I just needed to share it. If somehow anyone can give me a little advice, thank you :/
20090220094050AAR3pli	Society & Culture;Etiquette	Is it alright to wear boxers in a pool to swim?	I'm over one of my female friends house and I didn't realize she had an inflatable pool. Would she be totally freaked/weirded/creeped out if I asked her if I could swim in my boxers?
20090220084522AAFvPLn	Society & Culture;Cultures & Groups;Other - Cultures & Groups	How do you feel about People who talk Too much?	or are you one of those people
20090220092629AAsLnwd	Society & Culture;Cultures & Groups;Other - Cultures & Groups	What do you think of scottish accents, do you like them?	Im scottish and everytime im in england everyone makes me talk cause they love my accent lol i was just wondering what other people think do you like them? do americans like them? are we hard to understand?
20090220090337AAVNmBA	Society & Culture;Etiquette	Miss America black/white?	Why can girls from any race, black, white, latino, be in the Miss America contest but only black girls be in the Miss Black USA contest.      Wouldn't it be concidered racist if there was a Miss White USA contest?
20090220093525AAlxR6b	Society & Culture;Languages	When French people swear do they say pardon my English?	N/A
20090220084601AAlzXJ0	Society & Culture;Etiquette	How do you handle getting caught?	I am a 18 year old guy and was caught at my cousin Casey's house and she is 16. I was lying on the bed in the guest room in the nude doing the deed to a picture of Julianne Hough from Dancing with the Stars and Casey walks in. She starts giggling, pointing and waving her pinky finger at me. Its been two days and she still keeps riding me. She just sent me pictures through email of Julianne. She just keeps razzing me. Should I just let her keep doing it? Or do I address it. Thanks!
20090220091132AAS5q1g	Society & Culture;Mythology & Folklore	Can a spirit cause bad energy?	and would it make you feel tired and cold all the time would it make bad things happen ive heard this is ture??
20090220085604AAKlwf4	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Would this hairstyle look good on me?	Hi,      I am going to be going to the hair salon tomorrow to try and clean up and improve my current (out dated) hairstyle.      I have come up with a couple ideas, and I was hoping to hear some feedback from you all.       Here are some pics of the hair styles I like:      1.  http://farm4.static.flickr.com/3416/3293...     2.  http://farm4.static.flickr.com/3540/3293...  color here)      Here are some pics of myself:   (Sorry about my appearance, I took them late last night)      1. http://farm4.static.flickr.com/3211/3292...    2.  http://farm4.static.flickr.com/3560/3292...    3.  http://farm4.static.flickr.com/3512/3292...       Any suggestions or ideas?      Thank you so very much. =)
20090220085537AA0ABY3	Society & Culture;Etiquette	Would this hairstyle look good on me?	Hi,      I am going to be going to the hair salon tomorrow to try and clean up and improve my current (out dated) hairstyle.      I have come up with a couple ideas, and I was hoping to hear some feedback from you all.       Here are some pics of the hair styles I like:      1.  http://farm4.static.flickr.com/3416/3293...     2.  http://farm4.static.flickr.com/3540/3293...  color here)      Here are some pics of myself:   (Sorry about my appearance, I took them late last night)      1. http://farm4.static.flickr.com/3211/3292...    2.  http://farm4.static.flickr.com/3560/3292...    3.  http://farm4.static.flickr.com/3512/3292...       Any suggestions or ideas?      Thank you so very much. =)
20090220091345AAu5Ize	Society & Culture;Other - Society & Culture	Why do some people criticize quiet people?	They say things like quiet people are rude, lack self-confidence and/or have low self-esteem. It is so stupid for people to criticize others that are different from them. Personally, I feel that quiet people are better at listening than people who consistently talk all the time who do not listen well.
20090220093722AAHwrJF	Society & Culture;Religion & Spirituality	Why are Mormons So Robotic?	They think the only way to get to heaven or the 3rd heaven or whatever, that you have to be sealed in marriage, believe the book of mormon, trust Joseph Smith, be baptized, etc. Nowhere in the bible does it say you have to be sealed to go to heaven or baptized to go to heaven etc. This is all made up, and a way to contol their churches. Jesus died on the cross, salvation is a gift, you can't buy or work for it. why so many poeple being lead wrong?
20090220090845AAZ12P5	Society & Culture;Holidays;Ramadan	Ramadan: what is the meaning of all five pillars?	N/A
20090220090946AAXiuak	Society & Culture;Holidays;Ramadan	Ramadan: give advice to the person above and below?	N/A
20090220090533AASRQHk	Society & Culture;Holidays;Ramadan	Ramadan: when will the top answerers change?	N/A
20090220090640AAgqrCf	Society & Culture;Holidays;Ramadan	Ramadan: what is the meaning of zakah?	N/A
20090220092543AAUgLol	Society & Culture;Community Service	How can i download Kongu Vellalar peravai elutchi maanadu video?	How can i download Kongu Vellalar peravai elutchi maanadu video from kongulive or is there any other web site...
20090220091415AA7AtKy	Society & Culture;Mythology & Folklore	Did anyone ever tell you that you look like my Aunt Helen?	N/A
