20071223135331AAUA8HJ	Entertainment & Music;Polls & Surveys	?Que haces en este mismo momento aparte de estar en YR??	yo voy a irme a comer
20070117094228AA9DgC2	Entertainment & Music;Movies	Who remembers this movie ?What did you think of it when you saw it?	 http://www.youtube.com/watch?v=rIDM6wqUi... 
20070108155622AApbd5v	Entertainment & Music;Movies	Who has heard of the new movie"are we done yet"?	whose your    favorite character??
20070112143232AA2STyB	Entertainment & Music;Polls & Surveys	Is some addictive behavior good?	N/A
20070320071703AABYNX8	Entertainment & Music;Polls & Surveys	What do sheep.....?	count when they can't get to sleep?
20070425195611AAonKnh	Entertainment & Music;Polls & Surveys	Are u an all-rounder??	N/A
20070228122817AA7XN1C	Entertainment & Music;Music	What song is this?	it goes like   "Tell me all your thoughts on God. cause I'm on my way to see Her" i thik its an older song like from the 90's.
20061204154627AAKvgDW	Entertainment & Music;Polls & Surveys	Myspace Quiz?	My friend told me about this joke quiz he found on Myspace. It is where you check off boxes of things you've done like smoked pot, had sex, drank, etc. For each box you get "fined", and you see what your "debt" is. Could someone give me a link to it?
20070529084400AAGcQt4	Entertainment & Music;Movies	Did anyone do anything crazy for the Star Wars 30th Anniversary?	I didn't personally, but I want to hear what you other nuts did out there, you know who you are, :)      May the Force Be With You!
20070327151623AAuKNbO	Entertainment & Music;Music	Can anybody make me a totally cool rap!(with no bad words plz)?	if you could make me a rap i could use that would b great!(not 4 me like you like me just a cool  one that makes scence!)
20071014123521AAdsuih	Entertainment & Music;Music;Other - Music	What is this song called?	I dont kno the words this is allllll i kno!(not very much)   ok here they r      Push me   your saticfaction?
20070816101122AAantDY	Entertainment & Music;Music;Other - Music	Whats this song called?	-Baby i love and i'll never let you go! But if i have to boy i think that you should kno!
20071207165238AALHrgd	Entertainment & Music;Music;Rock and Pop	5 albumes que te llevarias a una isla solitaria?	para mi ,imprescindibles...   1-I't ll end in tears-This Mortal Coil   2-The moon and the melodies-Cocteau Twins   3-Kiss me kiss me kiss me-The Cure   4-Into the realm of a dying sun-Dead Can Dance   5-"Heroes"-David Bowie
20070513132655AAMSj2C	Entertainment & Music;Polls & Surveys	Who is going to the............????	P&S prom?......:).......who are you going with?
20070205154809AAzFxUG	Entertainment & Music;Movies	Quote "Say please ?"  who said it and which film ?	N/A
20070409190934AAk2pOS	Entertainment & Music;Music	Who sings you make me happy?	The song goes like this: I really love youuuuuuu you should know im ganna make sure im.... idk the rest but its an old song
20070820103318AAhHWw8	Entertainment & Music;Polls & Surveys	What is something new you have learned today?	I learned that if you win say 10,000,000 taxes will be taken out. Pointless and probably will never really help me out any time soon but it's something I now know..care to share what you have learned today?
20070125104418AAdx7jI	Entertainment & Music;Music	?Cuál crees que es el mejor DVD de Michael Jackson?	N/A
20070622222955AAX8aAg	Entertainment & Music;Polls & Surveys	Cual es la comida tipica mexicana que mas te gusta!!!?	a mi me gusta mucho el menudo entre otros pero ese es mi favorito!!!      SALUDOS DEL GUERRERO LEGENDARIO!!!
20070120034500AAN3Weo	Entertainment & Music;Polls & Surveys	Do you want a feature that your avatar has?	Someone asked a question simular to this the other day and I am changing it up a bit.    Like the title says is the a feature that your avatar has that you would like to have in real life?    Like in my case...I think I look a lot like my avatar but I would like her nose and pant suit. Plus she is slightly skinner than me, lol (I'm tired, plz excuse that)      What so you?
20061128132817AADac69	Entertainment & Music;Television	Is there anyway to watch a missed episode of 7th heaven on the internet for free????	i never miss an episode but since the switched it to sunday i always forget its on!!! so annoying!!!
20070201180602AA8E0kD	Entertainment & Music;Other - Entertainment	Sony vegas o adobe effets cual de los editores de vídeo prefieren???en cual se hacen mejores efectos?	N/A
20070709082727AAlSVKk	Entertainment & Music;Polls & Surveys	Do guys that "pop" their collar be severely beaten?	N/A
20070317050154AAS0wHP	Entertainment & Music;Celebrities	Erica Durance or Kristin Kreuk????	who do you think is prettier and more cute :   - Erica Durance (Lois Lane in Smallville)   - Kristin Kreuk (Lana Lang in Smallville)
20070122133708AABpzEq	Entertainment & Music;Movies	Q peliculas les gustan mas accion horror etc...?	N/A
20070703173506AA8I9a1	Entertainment & Music;Other - Entertainment	Why is summer so sad?	N/A
20070108161012AAfzaof	Entertainment & Music;Movies	What happens in John Tucker must die?	I am not allowed to see it unless my sister wants to see it and she doesn't want to see it.  So I hope someone can tell what happens in it.
20070508082442AAcNN9U	Entertainment & Music;Polls & Surveys	What would you do if you won $500,00 dollars?	I would save alot of it for college and then the rest i would move away to Paris.
20061021040927AA8uZ4U	Entertainment & Music;Horoscopes	Taureau ascendant scorpion, témoignages attendus !?	N/A
20061111095336AAkPEd0	Entertainment & Music;Music	Is dutty wine dangerous????????	Tanisha Henry of guyana died of dutty wine.
20061229144041AAUTWel	Entertainment & Music;Television	Rod stewarts american song book show can this be repeated ?	two or three new years ago i stayed in new years eve and this show was on it was brilliant very atmospheric,great songs and good shots of the audience added to the ambience, deserves a repeat show.
20070525085454AA5zJAr	Entertainment & Music;Polls & Surveys	If I said you had a beautiful body would you hold it against me?	N/A
20070404133901AALlTBO	Entertainment & Music;Music	Whats the song weapon by mathew good about?	N/A
20070206035445AAgXDS4	Entertainment & Music;Comics & Animation	Pokemon Haters, why bug us?	Well well well, to all PKMN Haters- Why do you hate it? Why do you hurt people for liking something? And lastly, why should you care if somebody likes it or not? Its not like you know the person.
20070327193915AAmH4EX	Entertainment & Music;Comics & Animation	Naruto Drawings!?	here are some drawings i drew, hope you will like it :)       http://www.deviantart.com/deviation/5172...        http://www.deviantart.com/deviation/5158...        http://www.deviantart.com/deviation/5141... 
20070412004952AA8yDnS	Entertainment & Music;Other - Entertainment	What the heck? What is this PETA thing all about?	N/A
20070717232240AAx7W5h	Entertainment & Music;Music;Other - Music	What are some top jobs within the music industry? PLEASE READ!!?	Im really into music, and into bands, musicians ect.    I like going to gigs, and reading about musicians and stuff like that.      Im 17, and at the moment, im trying to decide what to do after school. I saw Missy Higgins last night in concert and I dont know, it kinda just hit me to do something in the music industry because i love every aspect of it.      What are some good jobs in the music industry?    And do you know what courses you need to do in uni?    And are they reasonably well paid ect?         Thanks xx
20070201183748AAWyfaB	Entertainment & Music;Music	What is the name of this song?	the lyrics go like this    we can dance dance clap your hads hands all night long    if your in the move sum thin like that a women sings it
20070126114627AAm08Nw	Entertainment & Music;Comics & Animation	?Cual es el anime(s) mecha (robots) que mas les gusto?	Bueno amigos otakus una pregunta muy amplia de responder...   particularmente y sin ningun orden preferencial cuando me dicen anime de robots se me viene a la mente estos títulos:   Mazinger Z   Gundam   Robotech   Transformers   Arbegas   SuperLaser   Ironman28   Voltron      bueno eso es lo que recuerdo ahora... quizas Uds tengas mas nombres por ahi o compartir cual les gusto mas...      Saludos
20070402212049AANn3wY	Entertainment & Music;Polls & Surveys	If you were a man eating two-headed dragon, who would you have for dinner?	I would have female atheletes. -Less fat.
20070731194216AA2FpIL	Entertainment & Music;Other - Entertainment	How long..?	how long will the south run the rap game   if you think we aint dont even answer the question
20070406200535AAabp0z	Entertainment & Music;Celebrities	DO youLIKE JENNIFER ANISTON?	N/A
20070120134516AAtQqXI	Entertainment & Music;Polls & Surveys	Do you like these songs?	1  http://www.youtube.com/watch?v=qIkksL9pl...    2  http://www.youtube.com/watch?v=QVV9WwmaZ...    3  http://www.youtube.com/watch?v=oU9QLV5rP...    4  http://www.youtube.com/watch?v=jnDaxK0_E...    5  http://www.youtube.com/watch?v=leZLyivZf...    6  http://www.youtube.com/watch?v=bB5kWUqpY...         I'll try to add more later :)   This is so cute=http://www.youtube.com/watch?v=3cT3...
20070117152105AAA5L3A	Entertainment & Music;Polls & Surveys	Are you aware that Ozzy Osbourne is the son of me, the Christ?	N/A
20070607194418AAqzHdJ	Entertainment & Music;Celebrities	Andy Kaufman, dead or alive?	Do you think Andy Kaufman is dead or alive? I'm making a documentary to discuss it! Tell me what you think!          http://the-real-andy-kaufman.blogspot.co... 
20061010174851AApiPHQ	Entertainment & Music;Music	Fergie-all that i've got does anyone kno the lyrics to that song?	N/A
20070126143836AAJRa0f	Entertainment & Music;Celebrities	I'm confused?	how lindsay lohan goes out with wilmer valderrama? omg she's so lucky and she dumps he she got the best of him i would marry him
20070121015813AA7uqoH	Entertainment & Music;Music	What is the song called that Jim Carey sings at the Kareoke in 'The Cable Guy'?	N/A
20070318102252AAkzmpn	Entertainment & Music;Movies	Is there a terminator 4 coming out and when will it be?	N/A
20071014180405AAZaMvw	Entertainment & Music;Jokes & Riddles	What do you think of this joke?	A man is robbing a church and as he is doing this he hears a voice say "Jesus is watching you."  He thinks its just nerves and continues robbing.  A few seconds later he hears the voice again say "Jesus is watching you" he looks around and sees a parrot who is saying "Jesus is watching you."  He looks at the parrot and says "Well you're cute, what's your name?"  The parrot replies "John the Baptist"  The burlar asks "Who would name a parrot John the baptist?"  The parrot replies "The same person who would name the guard dog Jesus."
