20090304162506AALGSL3	Society & Culture;Religion & Spirituality	Can one be Gay and still be accepted by ones religion?	If not, why not?
20090305001929AA2f9Am	Society & Culture;Religion & Spirituality	Is it normal to come to realize that your life doesn't matter?	I'm an only child and a loner and am almost done with college. It seems like it doesn't matter if I'm here or not.
20090305002048AAUwKmv	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Does it offend indian women when american women want to wear saris?	Does it offend indian women when an american woman wants to/ is wearing a sari? Or do you feel honored that a foreigner thinks of it as beauty?
20090305002058AA54Rxq	Society & Culture;Religion & Spirituality	Does anything we do in life pointless ?	Since it does not amount to anything ..       What should you do when you realize that life is absurd...Should i commit suicide or live on with this delusion.      How to complete this journey of life ?      >> No religious crap pliz !
20090305004726AACQLmR	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why am I never allowed in concerts?	All my life I've been trying to get into Heavy Metal concerts but I'm never allowed in. Is it because I'm only 12? Is it because I only wear a white cloth? Cause you know, my hero went around walking in a white cloth and no-one raised any eye-brows...Is it because of metal arms? WHY???
20090305002407AAdJjhO	Society & Culture;Languages	How come some nation s are lucky and rich and some are unw and how we can help other nationsnoledg and unlucky?	i mean in affrica ,soh unger and so  bad situation
20090305004047AAL2d4X	Society & Culture;Languages	English problem, help please?	i have some problem with english, can your teach me some secrets to improve my english thanks,
20090305004247AAGz6rm	Society & Culture;Other - Society & Culture	What is the capital city of ethiopia?	N/A
20090305004621AAud4UB	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Who is better between boys n girls?	N/A
20090305004616AAaVOuH	Society & Culture;Religion & Spirituality	The Treasures of the Sacred Heart-1876 gilt edged, embossed leather bible.. anyone know what this is worth ?	I purchsed an old bible .. it is a lovely book.. very old dated 1876.. it has a green leather cover on solid boards.. it is in good condition, no writing inside, no major tears or missing pages and binding is excellent for age.. the leather has been well kept and is not scrappy anywhere..       It looks to be a first edition. it is from Dublin and includes some calenders of holidays and religious events celebrated in the 1800's.. it is quite an interesting book actually.. not really a bible as such.. but called "the treasures of the sacred heart" .. I'm trying to get it valued.. did both a google and yahoo search for hours.. no luck..       anyone got any ideas ??
20090305010025AAZEtbH	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Honestly, who out there is DTF?  I just wanna know a percentage.?	DTF means "down to fcuk"   so...if the right person came along, would you be willing, or DTF without any strings attatched?
20090305011547AA7MJkB	Society & Culture;Religion & Spirituality	Dear christians: Jesus was either a zombie or just an average mortal man. Which is it?	I mean, if he was resurrected, he's clearly a zombie.      If he didn't come back, the whole story is fake and he was just a man.      Flawless logic.      By the way, I'm pretty sure he was also black...      (that sound you just heard was your head exploding)
20090305005215AAW3hO2	Society & Culture;Languages	What are the french, german and spanish translations of "I am handsome"?	and "you are so beautiful". How bout "welcome" and "how are you today?" and " i feel great!"?   thank you amigos!       vielen dank! merci beaucoup! muchas gracias!
20090305013132AAtYCh4	Society & Culture;Languages	How do i saw this in Romaji [[Japanese]]?	きみがうたいだせば、みんなのハートがとけていく。       きみはスーパースター、スーパーガール～      きみにちかづけない、きみにとどかない、てにはいらない...      Please help Mii!
20090305005354AAmYRdK	Society & Culture;Languages	How to say "Wen you start to sing you make evrybodys heart mealt" in Japanese?	I want to know How to say "Wen you start to sing you make evrybodys heart mealt" in Japanese in kana or hiragana [[the one is better]] and in normal letters~ + if you can help me in this too "you are a super star,a super girl~" "You seam so hard to reach so hard to get to.."
20090305005425AAfbHzO	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Am I the only one hearing helicopters circling around North Hollywood every night?	Almost every night for the past 2 months between the hours of 11pm to about 2am, I hear at least one helicopter circling around and around for at least an hour. Do we have that much crime in the neighborhood? This is around Magnolia and Vineland. It is almost worst than hearing a car alarm go off close by.
20090305020155AAm3FbM	Society & Culture;Other - Society & Culture	If you ruled the world what would be the first thing you would do?	N/A
20090305005503AA6nkB7	Society & Culture;Languages	Spanish song about a woman who is in love with a guy that is no good ?	Does anyone know the Spanish song talking about a woman who is in love with a guy that is no good? If so, who sings it ? Thank you (:
20090305010132AARxGke	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why Are We Living - looking for what ?	for wht prpose ? what are we looking for ? where is the destny ?
20090305005729AA6iUc4	Society & Culture;Religion & Spirituality	Atheism.......................…	I hate the fact that time is measured on christ. why is it measured on him? that is unfair to us non believers...=)p
20090305005950AAI6rKu	Society & Culture;Holidays;Halloween	Alcohol costume ideas?	Hi,   I'm going to a party and the theme is come dressed as alcohol. What ideas do you have
20090305013235AA8yfZ7	Society & Culture;Languages	I always say the wrong things Please help me?	Unfortunately, I have difficulties in saying what I mean. Especially, I always say expressions which sound gay but I cant help it ( I am 100% straight). For example, when a tough situation arises, I always say "Thats a hard one to swallow" and when a person is being uptight I say "dont be so stiff" and I often say about exams that they are "long hard, and explosive". How should I manhandle the problem?
20090305011013AAWN8YI	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is it important to care about what other people think?	People always say you should not care about what other people think about you, but dont you do everything in life so other people will be impressed and hire you, admire you, and be associated with you, so when do you draw the line?
20090305005955AApi9uX	Society & Culture;Etiquette	When is it None of Your Business?	Hi      All I wish to say is that some people nowadays always push their nose into others people business. In fact, I think that is one of the main failures of society, we are moving towards publicity over privacy when we should be moving the other way.      For instance, recent news such as the mother who wanted to conceive 8 children and the bachelor show controversies.      Even with me, some people always push themselves into my business even after I politely tell them to get out.       So in your opinion should people have the right to be involved in private matters or no?      My dream is to live in a society where privacy rules and people's freedom should be restricted, since unfortunately there are too many idiots in the world today.
